Symbol,Name,MarketCap,IPOyear,Sector,industry,Summary Quote
AINV,Apollo Investment Corporation,1939517859,2004,n/a,n/a,http://www.nasdaq.com/symbol/ainv
AAPL,Apple Inc.,4.67873E+11,1980,Technology,Computer Manufacturing,http://www.nasdaq.com/symbol/aapl
ARCI,"Appliance Recycling Centers of America, Inc.",18662605.45,n/a,Consumer Services,Home Furnishings,http://www.nasdaq.com/symbol/arci
AMAT,"Applied Materials, Inc.",21217859231,1972,Technology,Semiconductors,http://www.nasdaq.com/symbol/amat
AMCC,Applied Micro Circuits Corporation,826474858.2,1997,Technology,Semiconductors,http://www.nasdaq.com/symbol/amcc
AAOI,"Applied Optoelectronics, Inc.",163856342,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/aaoi
AREX,Approach Resources Inc.,913892570.1,2007,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/arex
APRI,"Apricus Biosciences, Inc",74316187.44,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/apri
AQU,Aquasition Corp.,73785550,n/a,Finance,Business Services,http://www.nasdaq.com/symbol/aqu
AQUUU,Aquasition Corp.,67590315,n/a,Finance,Business Services,http://www.nasdaq.com/symbol/aquuu
AQUUW,Aquasition Corp.,0,n/a,Finance,Business Services,http://www.nasdaq.com/symbol/aquuw
PETX,"Aratana Therapeutics, Inc.",436583249.2,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/petx
ARCW,"ARC Group Worldwide, Inc.",138066773.7,n/a,Consumer Services,Telecommunications Equipment,http://www.nasdaq.com/symbol/arcw
ABIO,"ARCA biopharma, Inc.",15988112.52,n/a,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,http://www.nasdaq.com/symbol/abio
ACGL,Arch Capital Group Ltd.,7762885864,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/acgl
ACAT,Arctic Cat Inc.,704451761.8,1990,Capital Goods,Industrial Specialties,http://www.nasdaq.com/symbol/acat
ARDNA,"Arden Group, Inc.",398308700,n/a,Consumer Services,Food Chains,http://www.nasdaq.com/symbol/ardna
ARNA,"Arena Pharmaceuticals, Inc.",1102181109,2000,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/arna
ARCC,Ares Capital Corporation,4972431242,1999,n/a,n/a,http://www.nasdaq.com/symbol/arcc
AGII,"Argo Group International Holdings, Ltd.",1131047260,n/a,Finance,Specialty Insurers,http://www.nasdaq.com/symbol/agii
AGIIL,"Argo Group International Holdings, Ltd.",0,n/a,Finance,Specialty Insurers,http://www.nasdaq.com/symbol/agiil
ARIA,"ARIAD Pharmaceuticals, Inc.",440554024.5,1994,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/aria
ARKR,Ark Restaurants Corp.,70158204.82,n/a,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/arkr
ABFS,Arkansas Best Corporation,806896375,1992,Transportation,Trucking Freight/Courier Services,http://www.nasdaq.com/symbol/abfs
ARMH,ARM Holdings plc,20861633727,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/armh
ARTX,Arotech Corporation,42669031.17,1994,Energy,Industrial Machinery/Components,http://www.nasdaq.com/symbol/artx
ARQL,"ArQule, Inc.",139828372.4,1996,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/arql
ARRY,Array BioPharma Inc.,705018829.8,2000,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/arry
ARRS,"ARRIS Group, Inc.",2383008676,1993,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/arrs
AROW,Arrow Financial Corporation,320376375.9,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/arow
ARWR,Arrowhead Research Corporation,275155600.9,n/a,Health Care,Biotechnology: Commercial Physical & Biological Resarch,http://www.nasdaq.com/symbol/arwr
ARTNA,Artesian Resources Corporation,173917112.5,n/a,Public Utilities,Water Supply,http://www.nasdaq.com/symbol/artna
ARTC,ArthroCare Corporation,981589727.7,1996,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,http://www.nasdaq.com/symbol/artc
ARTW,"Art&#39;s-Way Manufacturing Co., Inc.",25118801.11,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/artw
ARUN,"Aruba Networks, Inc.",2055418219,2007,Technology,Computer peripheral equipment,http://www.nasdaq.com/symbol/arun
ASBB,"ASB Bancorp, Inc.",89420946.75,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/asbb
ASNA,"Ascena Retail Group, Inc.",3339538051,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/asna
ASCMA,"Ascent Capital Group, Inc.",1183730745,n/a,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/ascma
ASTI,"Ascent Solar Technologies, Inc.",49110955.61,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/asti
APWC,Asia Pacific Wire & Cable Corporation Limited,47677858.05,n/a,Basic Industries,Telecommunications Equipment,http://www.nasdaq.com/symbol/apwc
ASIA,"AsiaInfo-Linkage, Inc.",849309964.6,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/asia
ASMI,ASM International N.V.,2085428681,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/asmi
ASML,ASML Holding N.V.,38537317649,1995,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/asml
AZPN,"Aspen Technology, Inc.",3520141105,1994,Technology,EDP Services,http://www.nasdaq.com/symbol/azpn
ASBC,Associated Banc-Corp,2684980137,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/asbc
ASBCW,Associated Banc-Corp,0,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/asbcw
ASFI,"Asta Funding, Inc.",110219831.5,1995,Finance,Finance Companies,http://www.nasdaq.com/symbol/asfi
ATEA,"Astea International, Inc.",10654278.03,1995,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/atea
ASTE,"Astec Industries, Inc.",770346313.6,1986,Capital Goods,Construction/Ag Equipment/Trucks,http://www.nasdaq.com/symbol/aste
ALOT,"Astro-Med, Inc.",97045143,1983,Technology,Computer peripheral equipment,http://www.nasdaq.com/symbol/alot
ATRO,Astronics Corporation,865625992.7,1972,Capital Goods,Military/Government/Technical,http://www.nasdaq.com/symbol/atro
ASTC,Astrotech Corporation,29619825.04,n/a,Capital Goods,Military/Government/Technical,http://www.nasdaq.com/symbol/astc
ASUR,Asure Software Inc,29051982.4,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/asur
